aspect_key,aspect_label,band_key,aspect_score_band,review_count,mean_aspect_rating,mean_overall_rating,mean_afinn_sentiment,median_afinn_sentiment,negative_text_share,mean_anger,mean_negative_nrc
value_rating,Value,high,High aspect score (4-5),254,4.654,4.909,20.715,17.992,0.016,0.677,2.295
value_rating,Value,low,Low aspect score (1-3),85,2.271,3.212,7.956,6.251,0.106,2.224,6.271
rooms_rating,Rooms,high,High aspect score (4-5),282,4.83,4.709,18.629,16.333,0.025,0.855,2.745
rooms_rating,Rooms,low,Low aspect score (1-3),40,2.35,2.525,3.254,1.848,0.15,2.825,8.275
location_rating,Location,high,High aspect score (4-5),299,4.809,4.619,18.276,16.315,0.023,0.91,2.816
location_rating,Location,low,Low aspect score (1-3),38,2.632,3.237,8.337,4.996,0.184,2.342,6.789
cleanliness_rating,Cleanliness,high,High aspect score (4-5),292,4.866,4.723,18.549,16.333,0.017,0.897,2.76
cleanliness_rating,Cleanliness,low,Low aspect score (1-3),35,2.114,2.371,3.844,1.693,0.229,3.143,9.114
service_rating,Service,high,High aspect score (4-5),406,4.882,4.714,18.301,16.316,0.022,0.855,2.791
service_rating,Service,low,Low aspect score (1-3),34,2.147,2.265,4.249,1.258,0.235,2.912,8
sleep_quality_rating,Sleep quality,high,High aspect score (4-5),243,4.86,4.77,19.502,17.231,0.021,0.918,2.868
sleep_quality_rating,Sleep quality,low,Low aspect score (1-3),29,1.966,2.103,2.855,1.693,0.276,2.724,7.379
